Date,Value,Currency
2020-01-31,8473.74,EUR
2020-01-30,8644.76,EUR
2020-01-29,8478.79,EUR
2020-01-28,8480.93,EUR
2020-01-27,8098.21,EUR
2020-01-26,7768.97,EUR
2020-01-24,7665.68,EUR
2020-01-23,7573.03,EUR
2020-01-22,7844.09,EUR
2020-01-21,7904.82,EUR
2020-01-20,7770.17,EUR
2020-01-19,7796.92,EUR
2020-01-17,8015.18,EUR
2020-01-16,7796.00,EUR
2020-01-15,7880.70,EUR
2020-01-14,7946.99,EUR
2020-01-13,7313.41,EUR
2020-01-12,7351.12,EUR
2020-01-10,7377.05,EUR
2020-01-09,7085.28,EUR
2020-01-08,7229.68,EUR
2020-01-07,7319.84,EUR
2020-01-06,6944.96,EUR
2020-01-05,6636.45,EUR
2020-01-03,6581.91,EUR
2020-01-02,6232.17,EUR
2020-01-01,6411.51,EUR
2020-02-28,7907.13,EUR
2020-02-27,8058.07,EUR
2020-02-26,8132.30,EUR
2020-02-25,8614.30,EUR
2020-02-24,8871.06,EUR
2020-02-23,9128.42,EUR
2020-02-21,8999.61,EUR
2020-02-20,8894.81,EUR
2020-02-19,8906.92,EUR
2020-02-18,9318.18,EUR
2020-02-17,8954.95,EUR
2020-02-16,9075.86,EUR
2020-02-15,9162.79,EUR
2020-02-14,9505.15,EUR
2020-02-13,9382.24,EUR
2020-02-12,9441.24,EUR
2020-02-11,9350.00,EUR
2020-02-10,9042.57,EUR
2020-02-09,9213.60,EUR
2020-02-07,8926.47,EUR
2020-02-06,8824.27,EUR
2020-02-05,8703.85,EUR
2020-02-04,8292.84,EUR
2020-02-03,8349.35,EUR
2020-02-02,8474.75,EUR
2020-03-31,5848.90,EUR
2020-03-30,5754.74,EUR
2020-03-29,5335.02,EUR
2020-03-27,5839.48,EUR
2020-03-26,6163.15,EUR
2020-03-25,6171.33,EUR
2020-03-24,6276.82,EUR
2020-03-23,5994.04,EUR
2020-03-22,5546.41,EUR
2020-03-20,5828.07,EUR
2020-03-19,5631.36,EUR
2020-03-18,4752.93,EUR
2020-03-17,4690.05,EUR
2020-03-16,4504.67,EUR
2020-03-15,4824.27,EUR
2020-03-13,4967.00,EUR
2020-03-12,4417.81,EUR
2020-03-11,7013.25,EUR
2020-03-10,6963.10,EUR
2020-03-09,6970.40,EUR
2020-03-08,7215.79,EUR
2020-03-07,7897.64,EUR
2020-03-06,8099.64,EUR
2020-03-05,8161.27,EUR
2020-03-04,7845.61,EUR
2020-03-03,7871.40,EUR
2020-03-02,8007.70,EUR
2020-03-01,7745.34,EUR
2020-04-30,7994.35,EUR
2020-04-29,8094.74,EUR
2020-04-28,7217.19,EUR
2020-04-27,7217.97,EUR
2020-04-26,7070.70,EUR
2020-04-24,7029.55,EUR
2020-04-23,6852.59,EUR
2020-04-22,6532.70,EUR
2020-04-21,6347.59,EUR
2020-04-20,6346.34,EUR
2020-04-19,6653.56,EUR
2020-04-17,6531.49,EUR
2020-04-16,6503.55,EUR
2020-04-15,6028.48,EUR
2020-04-14,6270.55,EUR
2020-04-13,6265.00,EUR
2020-04-12,6414.19,EUR
2020-04-10,6268.01,EUR
2020-04-09,6718.98,EUR
2020-04-08,6748.82,EUR
2020-04-07,6658.99,EUR
2020-04-06,6705.29,EUR
2020-04-05,6275.63,EUR
2020-04-03,6187.11,EUR
2020-04-02,6210.48,EUR
2020-04-01,6005.96,EUR
2020-05-31,8510.82,EUR
2020-05-29,8515.09,EUR
2020-05-28,8644.76,EUR
2020-05-27,8354.13,EUR
2020-05-26,8116.64,EUR
2020-05-25,8185.54,EUR
2020-05-24,8294.95,EUR
2020-05-22,8376.15,EUR
2020-05-21,8277.27,EUR
2020-05-20,8715.24,EUR
2020-05-19,8894.76,EUR
2020-05-18,8971.84,EUR
2020-05-17,8942.18,EUR
2020-05-15,8647.94,EUR
2020-05-14,8969.90,EUR
2020-05-13,8536.39,EUR
2020-05-12,8115.09,EUR
2020-05-11,7953.02,EUR
2020-05-10,8101.57,EUR
2020-05-09,8884.32,EUR
2020-05-08,9046.57,EUR
2020-05-07,9260.50,EUR
2020-05-06,8542.87,EUR
2020-05-05,8261.89,EUR
2020-05-04,8146.79,EUR
2020-05-03,8129.10,EUR
2020-05-01,8085.13,EUR
